,concentration,stickiness_wi,stickiness_bt,sparsity,pvar,lrate,lratep,decay_rate,blocked,interleaved,early,middle,late
0,0.01,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.5149999999999941,0.518499999999996,0.5079999999999943,0.5109999999999966,0.5209999999999952
1,0.11,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.5017499999999963,0.5027499999999941,0.4799999999999945,0.49149999999999394,0.4879999999999958
2,0.21000000000000002,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.4979999999999947,0.5149999999999956,0.5034999999999967,0.5087499999999956,0.5224999999999962
3,0.31000000000000005,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.5112499999999953,0.5132499999999953,0.4897499999999949,0.48724999999999347,0.4984999999999946
4,0.41000000000000003,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.5079999999999939,0.5079999999999962,0.5082499999999942,0.5004999999999942,0.49799999999999545
5,0.51,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.48674999999999374,0.49624999999999614,0.49699999999999545,0.4857499999999929,0.5079999999999952
6,0.6100000000000001,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.48874999999999436,0.49249999999999483,0.5064999999999946,0.5029999999999948,0.49849999999999445
7,0.7100000000000001,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.5109999999999959,0.47849999999999504,0.5037499999999939,0.5127499999999945,0.5052499999999938
8,0.81,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.5002499999999962,0.5007499999999944,0.5154999999999965,0.4944999999999945,0.5064999999999945
9,0.91,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.5009999999999948,0.5007499999999959,0.49324999999999514,0.4942499999999944,0.502749999999994
10,1.01,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.4764999999999951,0.48749999999999394,0.489999999999994,0.5042499999999954,0.5024999999999951
11,1.11,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.5007499999999948,0.5039999999999948,0.5119999999999943,0.5004999999999956,0.49924999999999536
12,1.2100000000000002,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.5022499999999961,0.5024999999999948,0.5082499999999948,0.4852499999999937,0.5099999999999957
13,1.31,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.5042499999999961,0.4844999999999947,0.509499999999996,0.5157499999999949,0.471749999999996
14,1.4100000000000001,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.4939999999999965,0.49274999999999514,0.5102499999999953,0.5012499999999954,0.48749999999999466
15,1.51,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.49174999999999613,0.4914999999999946,0.5059999999999952,0.48849999999999405,0.4852499999999953
16,1.61,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.47999999999999376,0.5002499999999962,0.5047499999999957,0.514999999999997,0.49199999999999394
17,1.7100000000000002,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,0.5209999999999957,0.5044999999999948,0.49474999999999536,0.5187499999999937,0.513999999999995
18,1.81,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,1.0,0.4952499999999941,1.0,0.48624999999999546,0.511749999999995
19,1.9100000000000001,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,1.0,0.4959999999999953,1.0,0.5077499999999953,0.5037499999999934
20,2.01,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,1.0,0.5062499999999952,1.0,0.4754999999999939,0.4947499999999961
21,2.11,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,1.0,0.47999999999999454,1.0,0.494749999999995,0.48974999999999547
22,2.21,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,1.0,0.4907499999999952,1.0,0.48424999999999463,0.5139999999999967
23,2.31,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,1.0,0.5082499999999961,1.0,0.5112499999999949,0.4897499999999943
24,2.41,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,1.0,0.4827499999999948,1.0,0.5054999999999954,0.49874999999999536
25,2.51,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,1.0,0.5102499999999959,1.0,0.5112499999999968,0.47474999999999457
26,2.61,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,1.0,0.4902499999999964,1.0,0.49649999999999644,0.5302499999999954
27,2.71,5000.0,10.0,0.21000000000000002,1.0,1.0,1.0,1.0,1.0,0.49974999999999586,1.0,0.49674999999999486,0.49249999999999583
