,concentration,stickiness_wi,stickiness_bt,sparsity,pvar,lrate,lratep,decay_rate,blocked,interleaved,early,middle,late
0,304.0,600,580.0,0.85,0.0,1.0,1.0,1.0,0.7803394833834945,0.5061444752582013,0.6747865127889197,0.5895657566933609,0.5211691797486251
1,304.0,610,580.0,0.85,0.0,1.0,1.0,1.0,0.8185920561500921,0.49755856224199835,0.6140738110168837,0.5878104455521339,0.5421437117324834
2,304.0,620,580.0,0.85,0.0,1.0,1.0,1.0,0.8394632079017897,0.5167653327522079,0.6443930772679366,0.6137777980678608,0.5351571485992774
3,304.0,630,580.0,0.85,0.0,1.0,1.0,1.0,0.8146394632283347,0.4990728040368806,0.6335457917993731,0.608425632120028,0.531508723828446
4,304.0,640,580.0,0.85,0.0,1.0,1.0,1.0,0.8310246054176771,0.5007901296786703,0.5716597712459954,0.577075689920348,0.5346528451454639
5,304.0,650,580.0,0.85,0.0,1.0,1.0,1.0,0.8367608789815971,0.5032072543946741,0.5691637270803297,0.5775862292476706,0.5222665113449799
6,304.0,660,580.0,0.85,0.0,1.0,1.0,1.0,0.8918623907716121,0.5056122986691033,0.7385838864338939,0.5602617566866621,0.5189356708055924
7,304.0,670,580.0,0.85,0.0,1.0,1.0,1.0,0.9185376666974676,0.514865673308911,0.8256389972977978,0.5768198845982975,0.49906463324287065
8,304.0,680,580.0,0.85,0.0,1.0,1.0,1.0,0.8853029845632235,0.5180797989973717,0.7462746678197434,0.5687333671118796,0.5185874429556174
9,304.0,690,580.0,0.85,0.0,1.0,1.0,1.0,0.9405380614612202,0.4944560975347912,0.7628994118191174,0.5177849292713101,0.500992473909546
10,304.0,700,580.0,0.85,0.0,1.0,1.0,1.0,0.9734452280756827,0.5083065909106844,0.7492465821080116,0.5766720676629713,0.4931382788539409
