,Unnamed: 0,concentration,stickiness_wi,stickiness_bt,sparsity,pvar,lrate,lratep,decay_rate,blocked,interleaved,early,middle,late
0,0,290.0,600,557.5,0.95,0.0,1.0,1.0,1.0,0.9235311467005992,0.5085539982588843,0.6956487313103985,0.5850233054738787,0.5196365040079873
1,1,290.0,610,557.5,0.95,0.0,1.0,1.0,1.0,0.90751262732398,0.4916973231129796,0.8082016148425792,0.5656689562569225,0.5085088989432555
2,2,290.0,620,557.5,0.95,0.0,1.0,1.0,1.0,0.904559171532439,0.4964219687390848,0.7948528520250299,0.5586558361498957,0.491371054847103
3,3,290.0,630,557.5,0.95,0.0,1.0,1.0,1.0,0.9455385593530294,0.4897868698481238,0.7891328641736732,0.5792874950984448,0.5093665683810473
4,4,290.0,640,557.5,0.95,0.0,1.0,1.0,1.0,0.9574923134925268,0.504422489171792,0.8065927178120098,0.5669658225340604,0.4996780939810549
5,5,290.0,650,557.5,0.95,0.0,1.0,1.0,1.0,0.9692776871035276,0.4910712189148405,0.6990784931719876,0.5583141890270933,0.4903514815844323
6,6,290.0,660,557.5,0.95,0.0,1.0,1.0,1.0,0.9335345079576464,0.5008955926573273,0.7596264125911116,0.5564239114504574,0.5116166918492602
7,7,290.0,670,557.5,0.95,0.0,1.0,1.0,1.0,0.9173715435459346,0.4877536368535892,0.7470519965751784,0.5333112661382646,0.4963761026471927
8,8,290.0,680,557.5,0.95,0.0,1.0,1.0,1.0,0.9625170618546178,0.4969779328658009,0.7694465702624902,0.5822300651226417,0.489646227496077
9,9,290.0,690,557.5,0.95,0.0,1.0,1.0,1.0,0.9668313699461244,0.4935031602267218,0.7997240813402009,0.5263582463467744,0.483998463821606
10,10,290.0,700,557.5,0.95,0.0,1.0,1.0,1.0,0.9394008050438232,0.5069534386927999,0.7764282314127608,0.5563126438282555,0.508613174735389
0,0,304.0,600,567.5,0.95,0.0,1.0,1.0,1.0,0.857485384569695,0.4937283549801218,0.6012502952975136,0.5645449126116718,0.5338438909835771
1,1,304.0,610,567.5,0.95,0.0,1.0,1.0,1.0,0.7357306810650842,0.4944709924239655,0.5910279887656831,0.5811204522689346,0.5025842621627806
2,2,304.0,620,567.5,0.95,0.0,1.0,1.0,1.0,0.9024352936792848,0.5000613935318114,0.7369877798174121,0.5501621252425408,0.5008929872156573
3,3,304.0,630,567.5,0.95,0.0,1.0,1.0,1.0,0.9105988665481426,0.4872822123255831,0.7262678582966464,0.5669313975560473,0.5135893012274446
4,4,304.0,640,567.5,0.95,0.0,1.0,1.0,1.0,0.8989753700256149,0.5006500547149109,0.7712530125395699,0.5270835740561564,0.4960003312567321
5,5,304.0,650,567.5,0.95,0.0,1.0,1.0,1.0,0.909875337522692,0.4962767080797627,0.7425788009103362,0.5904671628788771,0.5070555211652368
6,6,304.0,660,567.5,0.95,0.0,1.0,1.0,1.0,0.9464145295991898,0.5004622668364138,0.7322004627570976,0.518072507892296,0.5086889215068773
7,7,304.0,670,567.5,0.95,0.0,1.0,1.0,1.0,0.9081324008705504,0.4965657155363659,0.7250865577094396,0.5843731703921542,0.5071080853947075
8,8,304.0,680,567.5,0.95,0.0,1.0,1.0,1.0,0.9297282861131368,0.5086769409578829,0.6881421365846514,0.5662534100669951,0.5129124085487723
9,9,304.0,690,567.5,0.95,0.0,1.0,1.0,1.0,0.9430417538220132,0.502721155191002,0.7769432298865823,0.5942807584513383,0.5116615214995227
10,10,304.0,700,567.5,0.95,0.0,1.0,1.0,1.0,0.9449379629687864,0.5042615926765283,0.7654851271449405,0.5506717914754322,0.4939486977160212
0,0,300.0,600,485.0,1.15,0.0,1.0,1.0,1.0,0.911297954593574,0.4924739661359635,0.7655089363553905,0.55865110257886,0.4921470040700488
1,1,300.0,610,485.0,1.15,0.0,1.0,1.0,1.0,0.9189871719812152,0.5069027737295169,0.7310724518670396,0.5476163945935323,0.5160518221809597
2,2,300.0,620,485.0,1.15,0.0,1.0,1.0,1.0,0.9434922004283222,0.5026427401866983,0.7663009505807072,0.5489290238317912,0.5082463963910101
3,3,300.0,630,485.0,1.15,0.0,1.0,1.0,1.0,0.9365195700522978,0.5012570191049237,0.7474144853275192,0.5715986694410193,0.4973247655107918
4,4,300.0,640,485.0,1.15,0.0,1.0,1.0,1.0,0.9640070053515746,0.5066115098870387,0.6623345027333747,0.5760767934987344,0.4812739858973699
5,5,300.0,650,485.0,1.15,0.0,1.0,1.0,1.0,0.9710262804684412,0.5105957696251135,0.8176955300574866,0.5774387390699371,0.4949455652432129
