story,interleaved-step1,interleaved-step2,interleaved_rep-step1,interleaved_rep-step2,blocked-step1,blocked-step2,blocked_rep-step1,blocked_rep-step2,explicit_interleaved-step1,explicit_interleaved-step2,inserted_early-step1,inserted_early-step2,inserted_early_rep-step1,inserted_early_rep-step2,inserted_middle-step1,inserted_middle-step2,inserted_middle_rep-step1,inserted_middle_rep-step2,inserted_late-step1,inserted_late-step2,inserted_late_rep-step1,inserted_late_rep-step2
0,0.4782608695652174,0.7692307692307693,0.3333333333333333,0.4,0.4230769230769231,0.4,0.38095238095238093,0.5,0.5789473684210527,0.4782608695652174,0.6111111111111112,0.42857142857142855,0.5,0.5555555555555556,0.2,0.5625,0.5,0.47619047619047616,0.47058823529411764,0.42857142857142855,0.375,0.5
1,0.4074074074074074,0.4166666666666667,0.631578947368421,0.3684210526315789,0.4782608695652174,0.75,0.29411764705882354,0.7894736842105263,0.3333333333333333,0.64,0.6153846153846154,0.6111111111111112,0.8,0.8235294117647058,0.46153846153846156,0.5,0.3,0.5625,0.6111111111111112,0.55,0.6,0.5
2,0.5833333333333334,0.8,0.4375,0.3125,0.7391304347826086,0.5862068965517241,0.7222222222222222,0.9411764705882353,0.37037037037037035,0.56,0.5294117647058824,0.7777777777777778,0.7,0.85,0.5,0.5625,0.631578947368421,0.6666666666666666,0.5,0.4444444444444444,0.4444444444444444,0.4444444444444444
3,0.4782608695652174,0.5652173913043478,0.5882352941176471,0.5294117647058824,0.6190476190476191,0.7083333333333334,0.8888888888888888,0.7142857142857143,0.36,0.3888888888888889,0.5,0.625,0.7058823529411765,0.8666666666666667,0.38461538461538464,0.5625,0.5263157894736842,0.55,0.4117647058823529,0.5,0.3333333333333333,0.36363636363636365
4,0.7727272727272727,0.782608695652174,0.35,0.7142857142857143,0.7083333333333334,0.8620689655172413,0.8095238095238095,0.9090909090909091,0.7037037037037037,0.6956521739130435,0.7222222222222222,0.7894736842105263,0.7777777777777778,0.8125,0.625,0.6875,0.45,0.5294117647058824,0.45,0.5294117647058824,0.2222222222222222,0.7
5,0.5454545454545454,0.5555555555555556,0.5,0.5333333333333333,0.7894736842105263,0.8461538461538461,0.8947368421052632,0.9375,0.36363636363636365,0.30434782608695654,0.8,0.8125,0.7777777777777778,0.8,0.2777777777777778,0.3076923076923077,0.375,0.6470588235294118,0.6666666666666666,0.4117647058823529,0.1111111111111111,0.7272727272727273
6,0.5714285714285714,0.6842105263157895,0.4666666666666667,0.6666666666666666,0.68,0.8846153846153846,0.75,0.8823529411764706,0.6086956521739131,0.8636363636363636,0.6666666666666666,0.6470588235294118,1.0,1.0,0.5,0.6111111111111112,0.47368421052631576,0.625,0.6470588235294118,0.6470588235294118,0.3333333333333333,0.6666666666666666
7,0.5,0.5217391304347826,0.35294117647058826,0.5625,0.6956521739130435,0.8571428571428571,0.8695652173913043,0.7777777777777778,0.46153846153846156,0.7272727272727273,0.8125,0.7857142857142857,0.9333333333333333,0.9333333333333333,0.5833333333333334,0.6153846153846154,0.4117647058823529,0.4117647058823529,0.5263157894736842,0.7777777777777778,0.4444444444444444,0.625
8,0.6875,0.7391304347826086,0.5555555555555556,0.4444444444444444,0.7727272727272727,0.875,0.8695652173913043,0.8823529411764706,0.6818181818181818,0.7916666666666666,0.875,0.95,0.6923076923076923,0.8666666666666667,0.4375,0.75,0.5555555555555556,0.7647058823529411,0.631578947368421,0.65,0.42857142857142855,0.5
9,0.3125,0.6956521739130435,0.38095238095238093,0.6,0.8260869565217391,0.7857142857142857,0.8421052631578947,0.96,0.48148148148148145,0.5454545454545454,0.9090909090909091,0.9333333333333333,0.85,0.7857142857142857,0.6153846153846154,0.75,0.47058823529411764,0.75,0.4090909090909091,0.75,0.5454545454545454,0.7
